"Image_Name","Jaw_0_X","Jaw_0_Y","Jaw_1_X","Jaw_1_Y","Jaw_2_X","Jaw_2_Y","Jaw_3_X","Jaw_3_Y","Jaw_4_X","Jaw_4_Y","Jaw_5_X","Jaw_5_Y","Jaw_6_X","Jaw_6_Y","Jaw_7_X","Jaw_7_Y","Jaw_8_X","Jaw_8_Y","Jaw_9_X","Jaw_9_Y","Jaw_10_X","Jaw_10_Y","Jaw_11_X","Jaw_11_Y","Jaw_12_X","Jaw_12_Y","Jaw_13_X","Jaw_13_Y","Jaw_14_X","Jaw_14_Y","Jaw_15_X","Jaw_15_Y","Jaw_16_X","Jaw_16_Y","RightEyebrow_17_X","RightEyebrow_17_Y","RightEyebrow_18_X","RightEyebrow_18_Y","RightEyebrow_19_X","RightEyebrow_19_Y","RightEyebrow_20_X","RightEyebrow_20_Y","RightEyebrow_21_X","RightEyebrow_21_Y","LeftEyebrow_22_X","LeftEyebrow_22_Y","LeftEyebrow_23_X","LeftEyebrow_23_Y","LeftEyebrow_24_X","LeftEyebrow_24_Y","LeftEyebrow_25_X","LeftEyebrow_25_Y","LeftEyebrow_26_X","LeftEyebrow_26_Y","Nose_27_X","Nose_27_Y","Nose_28_X","Nose_28_Y","Nose_29_X","Nose_29_Y","Nose_30_X","Nose_30_Y","Nose_31_X","Nose_31_Y","Nose_32_X","Nose_32_Y","Nose_33_X","Nose_33_Y","Nose_34_X","Nose_34_Y","Nose_35_X","Nose_35_Y","RightEye_36_X","RightEye_36_Y","RightEye_37_X","RightEye_37_Y","RightEye_38_X","RightEye_38_Y","RightEye_39_X","RightEye_39_Y","RightEye_40_X","RightEye_40_Y","RightEye_41_X","RightEye_41_Y","LeftEye_42_X","LeftEye_42_Y","LeftEye_43_X","LeftEye_43_Y","LeftEye_44_X","LeftEye_44_Y","LeftEye_45_X","LeftEye_45_Y","LeftEye_46_X","LeftEye_46_Y","LeftEye_47_X","LeftEye_47_Y","Mouth_48_X","Mouth_48_Y","Mouth_49_X","Mouth_49_Y","Mouth_50_X","Mouth_50_Y","Mouth_51_X","Mouth_51_Y","Mouth_52_X","Mouth_52_Y","Mouth_53_X","Mouth_53_Y","Mouth_54_X","Mouth_54_Y","Mouth_55_X","Mouth_55_Y","Mouth_56_X","Mouth_56_Y","Mouth_57_X","Mouth_57_Y","Mouth_58_X","Mouth_58_Y","Mouth_59_X","Mouth_59_Y","Mouth_60_X","Mouth_60_Y","Mouth_61_X","Mouth_61_Y","Mouth_62_X","Mouth_62_Y","Mouth_63_X","Mouth_63_Y","Mouth_64_X","Mouth_64_Y","Mouth_65_X","Mouth_65_Y","Mouth_66_X","Mouth_66_Y","Mouth_67_X","Mouth_67_Y","Face_68_X","Face_68_Y","Face_69_X","Face_69_Y","Face_70_X","Face_70_Y","Face_71_X","Face_71_Y","Periocular_72_X","Periocular_72_Y","Periocular_73_X","Periocular_73_Y","Periocular_74_X","Periocular_74_Y","Periocular_75_X","Periocular_75_Y","LeftScreen_76_X","LeftScreen_76_Y","LeftScreen_77_X","LeftScreen_77_Y","LeftScreen_78_X","LeftScreen_78_Y","LeftScreen_79_X","LeftScreen_79_Y","RightScreen_80_X","RightScreen_80_Y","RightScreen_81_X","RightScreen_81_Y","RightScreen_82_X","RightScreen_82_Y","RightScreen_83_X","RightScreen_83_Y","WholeScreen_84_X","WholeScreen_84_Y","WholeScreen_85_X","WholeScreen_85_Y","WholeScreen_86_X","WholeScreen_86_Y","WholeScreen_87_X","WholeScreen_87_Y"
"frame1145.jpg",734.0,485.0,742.0,535.0,756.0,583.0,770.0,632.0,787.0,677.0,815.0,717.0,856.0,745.0,904.0,762.0,956.0,765.0,1006.0,752.0,1050.0,725.0,1085.0,690.0,1107.0,647.0,1115.0,601.0,1122.0,551.0,1127.0,503.0,1126.0,453.0,752.16,453.24,777.36,419.64,818.16,398.04,862.56,398.04,905.76,410.04,942.3199999999999,408.0,981.92,390.0,1026.32,382.8,1070.72,398.4,1100.72,430.8,919.0,429.4888888888889,929.0,472.68888888888887,937.0,514.6888888888889,947.0,557.8888888888889,877.0,584.2888888888889,909.0,591.4888888888889,945.0,597.4888888888889,979.0,590.2888888888889,1009.0,580.6888888888889,784.5333333333333,471.25,820.5333333333333,416.25,870.9333333333333,413.75,912.3333333333333,473.75,869.1333333333333,493.75,820.5333333333333,496.25,946.1333333333333,476.0,985.7333333333333,411.0,1037.9333333333334,403.5,1073.9333333333334,456.0,1043.3333333333333,483.5,992.9333333333333,486.0,851.85,644.9,884.35,624.5,918.15,614.9,944.15,618.5,966.25,613.7,998.75,619.7,1032.55,637.7,1001.35,653.3,971.45,664.1,946.75,667.7,919.45,666.5,886.95,660.5,866.15,642.5,919.45,637.7,945.45,638.9,968.85,636.5,1018.25,636.5,967.55,635.3,944.15,638.9,918.15,637.7,734.0,141.0,1127.0,141.0,1127.0,765.0,734.0,765.0,752.16,382.8,1100.72,382.8,1100.72,496.25,752.16,496.25,0.0,0.0,960.0,0.0,960.0,1080.0,0.0,1080.0,960.0,0.0,1920.0,0.0,1920.0,1080.0,960.0,1080.0,0.0,0.0,1920.0,0.0,1920.0,1080.0,0.0,1080.0
"frame1531.jpg",788.0,717.0,796.0,757.0,806.0,794.0,818.0,833.0,833.0,872.0,859.0,904.0,898.0,927.0,945.0,942.0,997.0,945.0,1048.0,938.0,1090.0,920.0,1125.0,894.0,1143.0,858.0,1150.0,818.0,1156.0,777.0,1159.0,736.0,1160.0,695.0,815.76,657.04,838.56,622.24,875.76,598.24,921.36,593.44,964.56,603.04,995.0,603.12,1035.8,588.72,1079.0,589.92,1117.4,611.52,1137.8,648.72,979.5555555555555,627.1555555555556,985.5555555555555,659.5555555555555,991.5555555555555,693.1555555555556,997.5555555555555,727.9555555555555,923.5555555555555,763.9555555555555,957.5555555555555,769.9555555555555,995.5555555555555,775.9555555555555,1027.5555555555557,771.1555555555556,1055.5555555555557,765.1555555555556,843.6666666666667,677.5,877.8666666666667,635.0,921.0666666666667,632.5,960.6666666666667,670.0,921.0666666666667,685.0,879.6666666666667,690.0,999.5333333333334,670.5,1040.9333333333334,630.5,1084.1333333333334,630.5,1116.5333333333333,673.0,1084.1333333333334,688.0,1042.7333333333333,685.5,888.84,833.2,923.9399999999999,800.8,961.64,788.8,990.24,792.4,1017.54,790.0,1053.94,804.4,1085.1399999999999,834.4,1055.24,853.6,1020.14,859.6,991.54,860.8,961.64,858.4,923.9399999999999,852.4,901.84,832.0,961.64,808.0,990.24,809.2,1017.54,809.2,1069.54,834.4,1017.54,833.2,990.24,833.2,961.64,832.0,788.0,445.0,1160.0,445.0,1160.0,945.0,788.0,945.0,815.76,588.72,1137.8,588.72,1137.8,690.0,815.76,690.0,0.0,0.0,960.0,0.0,960.0,1080.0,0.0,1080.0,960.0,0.0,1920.0,0.0,1920.0,1080.0,960.0,1080.0,0.0,0.0,1920.0,0.0,1920.0,1080.0,0.0,1080.0
"frame545.jpg",599.0,614.0,605.0,674.0,618.0,732.0,636.0,790.0,653.0,848.0,681.0,903.0,728.0,945.0,788.0,974.0,859.0,984.0,935.0,974.0,997.0,941.0,1051.0,898.0,1083.0,841.0,1100.0,777.0,1112.0,713.0,1120.0,647.0,1120.0,581.0,619.52,540.32,651.92,491.12,704.72,462.32,764.72,457.52,821.12,470.72,859.88,465.0,918.68,443.4,981.08,441.0,1038.68,465.0,1074.68,510.6,835.0,492.1777777777778,841.0,543.7777777777778,849.0,592.9777777777778,857.0,645.7777777777778,765.0,703.3777777777777,811.0,714.1777777777778,859.0,720.1777777777778,909.0,711.7777777777778,951.0,699.7777777777778,657.4,571.75,700.6,514.25,758.2,506.74999999999994,817.6,559.25,761.8,581.75,702.4,589.25,873.2666666666667,558.5,927.2666666666667,496.0,986.6666666666667,496.0,1038.8666666666668,548.5,992.0666666666667,573.5,930.8666666666667,573.5,743.735,811.32,784.035,774.12,826.9350000000001,751.32,855.535,757.32,882.835,748.92,929.635,766.92,976.4350000000001,799.32,932.235,825.72,888.035,840.12,858.135,844.92,826.9350000000001,842.52,786.635,834.12,765.835,807.72,829.535,786.12,856.835,786.12,884.135,783.72,956.9350000000001,798.12,884.135,794.52,855.535,798.12,826.9350000000001,796.92,599.0,178.0,1120.0,178.0,1120.0,984.0,599.0,984.0,619.52,441.0,1074.68,441.0,1074.68,589.25,619.52,589.25,0.0,0.0,960.0,0.0,960.0,1080.0,0.0,1080.0,960.0,0.0,1920.0,0.0,1920.0,1080.0,960.0,1080.0,0.0,0.0,1920.0,0.0,1920.0,1080.0,0.0,1080.0
"frame56.jpg",622.0,525.0,629.0,582.0,642.0,636.0,655.0,691.0,668.0,743.0,695.0,791.0,742.0,821.0,803.0,835.0,875.0,839.0,948.0,835.0,1008.0,817.0,1058.0,784.0,1085.0,736.0,1100.0,681.0,1114.0,623.0,1125.0,564.0,1132.0,504.0,649.72,419.04,682.12,372.24,732.52,342.24,792.52,337.44,850.12,353.04,884.44,347.84,942.04,328.64,1003.24,331.04,1057.24,358.64,1092.04,407.84,865.2222222222222,376.9555555555556,869.2222222222222,418.9555555555556,875.2222222222222,459.7555555555556,879.2222222222222,502.9555555555556,787.2222222222222,567.7555555555556,831.2222222222222,577.3555555555556,877.2222222222222,584.5555555555555,925.2222222222222,578.5555555555555,963.2222222222222,570.1555555555556,682.4,457.75,723.8,392.75,785.0,387.75,844.4,445.25,785.0,465.25,727.4,470.25,896.3333333333333,445.5,948.5333333333333,383.0,1007.9333333333333,385.5,1060.1333333333332,448.0,1009.7333333333333,463.0,950.3333333333333,463.0,743.3,677.27,792.7,629.27,843.4,606.47,874.6,612.47,904.5,607.67,951.3,629.27,999.4,673.67,950.0,701.27,904.5,710.87,870.7,712.07,836.9,710.87,791.4,702.47,766.7,674.87,843.4,638.87,874.6,638.87,904.5,640.07,976.0,673.67,901.9,677.27,870.7,678.47,839.5,677.27,622.0,169.0,1132.0,169.0,1132.0,839.0,622.0,839.0,649.72,328.64,1092.04,328.64,1092.04,470.25,649.72,470.25,0.0,0.0,960.0,0.0,960.0,1080.0,0.0,1080.0,960.0,0.0,1920.0,0.0,1920.0,1080.0,960.0,1080.0,0.0,0.0,1920.0,0.0,1920.0,1080.0,0.0,1080.0
