RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_DURATION,CURRENT_FIX_X,CURRENT_FIX_Y,VIDEO_FRAME_INDEX_START,VIDEO_FRAME_INDEX_END,VIDEO_NAME_START,VIDEO_NAME_END,CURRENT_IA_Jaw,CURRENT_IA_RightEyebrow,CURRENT_IA_LeftEyebrow,CURRENT_IA_Nose,CURRENT_IA_RightEye,CURRENT_IA_LeftEye,CURRENT_IA_Mouth,CURRENT_IA_Face,CURRENT_IA_Periocular,CURRENT_IA_LeftScreen,CURRENT_IA_RightScreen,CURRENT_IA_WholeScreen,CURRENT_IA_NonFace,CURRENT_Area_Jaw,CURRENT_Area_RightEyebrow,CURRENT_Area_LeftEyebrow,CURRENT_Area_Nose,CURRENT_Area_RightEye,CURRENT_Area_LeftEye,CURRENT_Area_Mouth,CURRENT_Area_Face,CURRENT_Area_Periocular,CURRENT_Area_LeftScreen,CURRENT_Area_RightScreen,CURRENT_Area_WholeScreen
sub01,1,30,728.8,591.6,323,323,demo_video.mp4,demo_video.mp4,1,0,0,0,0,0,0,1,0,1,0,1,0,141461.0,6393.599578857422,6442.559384766035,18867.599609375,7742.250900268555,7946.998291015625,19736.343093261123,346888.0,60342.40725161135,1036800.0,1036800.0,2073600.0
sub01,1,92,724.7,608.1,326,329,demo_video.mp4,demo_video.mp4,1,0,0,0,0,0,0,1,0,1,0,1,0,156023.0,6672.963394775987,6878.161783446558,19803.597106933594,8394.751052856445,8410.500717163086,29611.132125243545,388608.0,62623.76247216761,1036800.0,1036800.0,2073600.0
sub01,1,48,770.3,795.3,330,331,demo_video.mp4,demo_video.mp4,1,0,0,0,0,0,0,1,0,1,0,1,0,155097.5,6552.001300049014,6897.599249267951,20217.600982666016,7650.002136230469,7805.250625610352,26588.642266236246,381600.0,60867.07361208461,1036800.0,1036800.0,2073600.0
sub01,1,460,835.1,1195.3,344,358,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,154611.5,7287.119135742076,7204.318092041649,21286.798278808594,5206.498565673828,5622.74787902832,23509.98098327592,381292.0,62826.33141838387,1036800.0,1036800.0,2073600.0
sub01,1,84,-239.4,2159.8,362,364,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,159353.0,7117.198681640439,7423.197802734561,20024.399841308594,6329.249801635742,6734.250106811523,21031.918772583827,406912.0,67497.40374296904,1036800.0,1036800.0,2073600.0
sub01,1,260,1166.7,1126.8,376,384,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,119390.5,5538.240377197042,5896.078996581957,13817.997314453125,6790.500640869141,6392.251510620117,22824.359348144382,311294.0,68843.53354956023,1036800.0,1036800.0,2073600.0
sub01,1,322,539.7,612.3,386,395,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,1,0,1,1,121229.5,5949.3586523439735,5963.040578613058,16617.59844970703,6252.751693725586,5922.0001220703125,13502.579027099535,309756.0,70234.67590649426,1036800.0,1036800.0,2073600.0
sub01,1,26,373.2,176.6,397,398,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,1,0,1,1,118933.5,5991.8420068360865,5955.120069580153,16543.199157714844,6972.749404907227,6684.750442504883,18243.42465942353,313944.0,71284.80388627946,1036800.0,1036800.0,2073600.0
sub01,1,228,68.6,372.7,415,422,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,1,0,1,1,155526.0,6771.599322509952,6901.201721191406,21114.00067138672,7794.000701904297,7803.0010986328125,17142.063077392057,402480.0,70577.56826914102,1036800.0,1036800.0,2073600.0
sub01,1,352,586.1,650.4,424,434,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,1,0,1,0,1,0,170508.5,7003.438765869476,7573.678154296242,24060.000610351562,9283.499450683594,9220.49934387207,31806.05861267075,418110.0,79872.95026274398,1036800.0,1036800.0,2073600.0
sub01,1,316,928.8,562.5,435,445,demo_video.mp4,demo_video.mp4,1,0,0,1,0,0,0,1,0,1,0,1,0,202583.5,7775.278520507738,8436.235671386123,26807.998779296875,12015.000686645508,12332.249755859375,45748.56145690754,500400.0,85865.98153686523,1036800.0,1036800.0,2073600.0
sub01,1,328,817.7,529.2,445,455,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,1,0,1,0,1,0,176328.0,7081.199743652716,8373.597161865793,24049.201232910156,10768.49838256836,10820.249862670898,30189.898641968146,427350.0,78354.45215981454,1036800.0,1036800.0,2073600.0
sub01,1,562,667.5,594.8,456,473,demo_video.mp4,demo_video.mp4,1,0,0,0,0,0,0,1,0,1,0,1,0,117942.5,6314.3985717771575,6458.399194335565,15712.80062866211,6711.749267578125,7062.75276184082,12085.314863281325,270300.0,63335.168001610786,1036800.0,1036800.0,2073600.0
sub01,1,526,791.8,756.7,474,490,demo_video.mp4,demo_video.mp4,1,0,0,0,0,0,0,1,0,1,0,1,0,129877.5,5435.278447265737,6600.960153808817,16905.597259521484,6365.250091552734,6533.9996337890625,18983.64046264626,319920.0,65513.403742969036,1036800.0,1036800.0,2073600.0
sub01,1,290,718.6,655.2,490,499,demo_video.mp4,demo_video.mp4,1,0,0,0,0,0,0,1,0,1,0,1,0,151528.0,6744.2397363279015,7493.037612305023,19039.202026367188,8135.998077392578,7821.002502441406,22416.42573059164,378764.0,70751.55160937458,1036800.0,1036800.0,2073600.0
sub01,1,30,134.3,2282.0,504,505,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,150561.5,6037.2008056640625,6930.721809081733,19130.397827148438,8208.001937866211,8563.500671386719,25770.417677002028,378072.0,75108.17684804648,1036800.0,1036800.0,2073600.0
sub01,1,264,404.9,2054.8,571,579,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,169143.5,7187.76218627952,7642.079362792894,21586.800994873047,8963.999786376953,9245.251159667969,21638.7587042246,428536.0,79768.40522192419,1036800.0,1036800.0,2073600.0
sub01,1,518,802.9,1116.1,581,597,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,163741.5,8256.963266601786,8017.919959716499,22191.601806640625,11549.248809814453,11371.497344970703,19634.157434692606,409156.0,86405.89689111337,1036800.0,1036800.0,2073600.0
sub01,1,606,812.3,921.0,679,697,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,1,0,1,1,92127.0,3621.60135497991,3847.6814318848774,10364.402099609375,6243.751220703125,6579.001770019531,9871.679600831121,234768.0,38507.74849782698,1036800.0,1036800.0,2073600.0
sub01,1,22,1404.9,938.8,700,700,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,1,1,1,91424.0,3697.200201415457,3999.600567626767,11169.595123291947,6263.998794555664,6374.25048828125,8679.057681884617,229600.0,37892.41090087965,1036800.0,1036800.0,2073600.0
sub01,1,32,816.1,853.0,704,704,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,1,0,1,1,98210.5,3805.1987915039062,4127.042739258148,10753.196655273438,6169.501647949219,6095.254058837891,15695.94104248099,255036.0,37327.18362016603,1036800.0,1036800.0,2073600.0
