RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_DURATION	CURRENT_FIX_X	CURRENT_FIX_Y	VIDEO_FRAME_INDEX_START	VIDEO_FRAME_INDEX_END	VIDEO_NAME_START	VIDEO_NAME_END
sub01	1	7886	428.60	256.50	1477	1713	demo_video.mp4	demo_video.mp4
sub01	1	122	1035.60	574.50	1737	1741	demo_video.mp4	demo_video.mp4
sub01	1	294	1051.70	552.20	1750	1758	demo_video.mp4	demo_video.mp4
sub01	1	266	857.50	228.40	1760	1768	demo_video.mp4	demo_video.mp4
sub01	1	854	875.20	225.30	1770	1796	demo_video.mp4	demo_video.mp4
sub01	1	20	887.70	278.80	1800	1801	demo_video.mp4	demo_video.mp4
sub01	2	322	1262.20	248.00	15	25	demo_video.mp4	demo_video.mp4
sub01	2	52	1247.10	271.30	26	27	demo_video.mp4	demo_video.mp4
sub01	2	32	1253.60	293.80	28	29	demo_video.mp4	demo_video.mp4
sub01	2	14	1205.30	268.90	31	31	demo_video.mp4	demo_video.mp4
sub01	2	176	1339.50	510.50	32	38	demo_video.mp4	demo_video.mp4
sub01	2	238	1351.00	574.80	39	46	demo_video.mp4	demo_video.mp4
sub01	2	426	1376.10	732.90	47	59	demo_video.mp4	demo_video.mp4
sub01	2	164	1374.90	785.30	60	65	demo_video.mp4	demo_video.mp4
sub01	2	582	1335.40	615.40	66	83	demo_video.mp4	demo_video.mp4
sub01	2	720	1319.70	634.80	84	106	demo_video.mp4	demo_video.mp4
sub01	2	580	1322.90	684.60	107	124	demo_video.mp4	demo_video.mp4
sub01	2	492	1345.20	543.70	125	139	demo_video.mp4	demo_video.mp4
sub01	2	164	1388.40	659.80	141	146	demo_video.mp4	demo_video.mp4
sub01	2	50	1386.70	692.10	147	148	demo_video.mp4	demo_video.mp4
sub01	2	336	1329.20	648.70	149	159	demo_video.mp4	demo_video.mp4
sub01	2	308	835.10	731.30	173	182	demo_video.mp4	demo_video.mp4
sub01	2	202	450.40	737.70	183	189	demo_video.mp4	demo_video.mp4
sub01	2	30	928.20	585.80	192	193	demo_video.mp4	demo_video.mp4
sub01	2	62	660.30	509.80	196	198	demo_video.mp4	demo_video.mp4
sub01	2	32	622.70	499.20	199	200	demo_video.mp4	demo_video.mp4
sub01	2	260	283.40	4.10	207	215	demo_video.mp4	demo_video.mp4
sub01	2	290	985.60	526.90	217	226	demo_video.mp4	demo_video.mp4
sub01	2	410	905.40	765.70	227	239	demo_video.mp4	demo_video.mp4
sub01	2	134	652.30	668.00	348	352	demo_video.mp4	demo_video.mp4
sub01	2	94	1159.10	496.20	353	356	demo_video.mp4	demo_video.mp4
sub01	2	262	1132.70	206.50	357	364	demo_video.mp4	demo_video.mp4
sub01	2	22	1215.50	355.80	365	366	demo_video.mp4	demo_video.mp4
sub01	2	482	1319.10	532.20	381	395	demo_video.mp4	demo_video.mp4
